geneid,gene,domain,Target entity
6606,SMA2,TUDOR,
6606,SMA3,TUDOR,
6606,SMA4,TUDOR,
10902,SMAP,Bromodomain,
64744,SMAP1L,Bromodomain,
10902,SMAP2,Bromodomain,
6594,SMARCA1,SWI/SNF Related,
6595,SMARCA2,SWI/SNF Related,"H3, DNA motif"
6596,SMARCA3,SWI/SNF Related,
6597,SMARCA4,SWI/SNF Related,"H3, H4"
6598,SMARCB1,SWI/SNF Related,H3K56
6599,SMARCC1,SWI/SNF Related,
6601,SMARCC2,SWI/SNF Related,
6602,SMARCD1,SWI/SNF Related,
6603,SMARCD2,SWI/SNF Related,
6604,SMARCD3,SWI/SNF Related,
6605,SMARCE1,SWI/SNF Related,
8242,SMCX,PHD,
22920,Smg-GDS,Bromodomain,
3925,SMN,TUDOR,
6606,SMN1,Bromodomain,
6607,SMN2,TUDOR,
6607,SMNC,TUDOR,
10285,SMNDC1,TUDOR,
10285,SMNR,TUDOR,
6606,SMNT,Bromodomain,
64094,SMOC2,Bromodomain,
27044,SND1,TUDOR,
6595,SNF2,SWI/SNF Related,
6595,SNF2A,Bromodomain,
6597,SNF2B,Bromodomain,
6594,SNF2L,SWI/SNF Related,
6594,SNF2L1,SWI/SNF Related,
6595,SNF2L2,SWI/SNF Related,
6596,SNF2L3,SWI/SNF Related,
6597,SNF2L4,Bromodomain,
6595,SNF2LA,Bromodomain,
6594,SNF2LB,SWI/SNF Related,
6594,SNF2LT,SWI/SNF Related,
6598,SNF5,SWI/SNF Related,
6598,SNF5L1,SWI/SNF Related,
6598,Snr1,SWI/SNF Related,
6638,SNRNP-N,TUDOR,
6638,SNRPN,TUDOR,
6638,SNURF-SNRPN,TUDOR,
10580,SORB1,Bromodomain,
10580,SORBS1,Bromodomain,
6672,SP100,Bromodomain,
3431,SP110,Bromodomain,
11262,SP140,Bromodomain,H3
93349,SP140L,Bromodomain,
56163,SPATA23,TUDOR,
221400,SPATA36,TUDOR,
10285,SPF30,TUDOR,
676,SPGF21,Bromodomain,
5269,SPI3,Bromodomain,
10927,SPIN,Spindlin,
474343,SPIN-2,TUDOR,
474343,SPIN-2B,TUDOR,
169981,SPIN-3,TUDOR,
10927,SPIN1,Spindlin,
54466,SPIN2,TUDOR,
54466,SPIN2A,TUDOR,
474343,SPIN2B,TUDOR,
169981,SPIN3,TUDOR,
139886,SPIN4,TUDOR,
10927,Spindlin1,Bromodomain,
83985,SPINL,Spindlin,
83985,SPNS1,Spindlin,
148479,SPOC1,PHD,
30827,SPP1,CXXC Finger Protein,
6599,SRG3,SWI/SNF Related,
55717,SRI1,Bromodomain,
84733,SRXY5,Chromodomain,
112869,STAF36,TTD Family,
6595,Sth1p,SWI/SNF Related,
3925,STMN1,TUDOR,
6839,SUV39H,Chromodomain,
6839,SUV39H1,Chromodomain,"H3S10, H3K9me1, H4"
11091,SWD3,WD40 Family,
6594,SWI,SWI/SNF Related,
6594,SWI2,SWI/SNF Related,
6599,SWI3,SWI/SNF Related,
6598,SWNTS1,SWI/SNF Related,
6606,T-BCD541,TUDOR,
138474,TAF(II)210,Bromodomain,
6872,TAF(II)250,Bromodomain,
6872,TAF1,Bromodomain,"H3, H4"
6881,TAF10,Bromodomain,
83860,TAF140,TATA-Box Binding Protein Associated Factor,
138474,TAF1L,Bromodomain,"H1.4ac, H2Aac, H2Bac, H3ac, H4ac"
6872,TAF2A,Bromodomain,
138474,TAF2A2,Bromodomain,
6881,TAF2H,Bromodomain,
83860,TAF3,TATA-Box Binding Protein Associated Factor,H3K4me
83860,TAF3 RNA polymerase II,TATA-Box Binding Protein Associated Factor,
83860,TAFII-140,TATA-Box Binding Protein Associated Factor,
6872,TAFII-250,Bromodomain,
83860,TAFII140,TATA-Box Binding Protein Associated Factor,
6872,TAFII250,Bromodomain,
6881,TAFII30,Bromodomain,
6872,TATA box binding protein (TBP)-associated factor,Bromodomain,
1788,TBRS,DNA Methyltransferase,
6941,TCF-19,PHD,
6941,TCF19,PHD,
221400,TDR2,TUDOR,
56165,TDRD1,TUDOR,
27044,TDRD11,TUDOR,
9682,TDRD14A,TTD Family,
23081,TDRD14C,TTD Family,
100129278,TDRD15,TUDOR,
6606,TDRD16A,TUDOR,
6607,TDRD16B,TUDOR,
10285,TDRD16C,TUDOR,
22823,TDRD19A,TUDOR,
26147,TDRD19B,TUDOR,
5252,TDRD19C,PHD,
51230,TDRD20A,TTD Family,
51105,TDRD20B,TUDOR,
29128,TDRD22,Ubiquitin Like with PHD and Ring Finger Domains,
115426,TDRD23,TUDOR,
10927,TDRD24,Spindlin,
54466,TDRD25,TUDOR,
474343,TDRD26,TUDOR,
169981,TDRD27,TUDOR,
139886,TDRD28,TUDOR,
112869,TDRD29,TTD Family,
81550,TDRD3,TUDOR,"H3R17me2a, H4R3me2a"
7158,TDRD30,Tumor Protein P53 Binding Protein,
56163,TDRD4,TUDOR,
221400,TDRD6,TUDOR,
4297,TET1-MLL,Bromodomain,
8805,TF1A,Bromodomain,
10155,TF1B,Bromodomain,
51592,TF1G,Bromodomain,
8805,TIF1,PHD,
8805,TIF1A,PHD,
8805,TIF1ALPHA,Bromodomain,
10155,TIF1B,Bromodomain,
9866,TIF1D,Bromodomain,
9866,TIF1DELTA,Bromodomain,
51592,TIF1G,Bromodomain,
51592,TIF1GAMMA,Bromodomain,
51592,TIFGAMMA,Bromodomain,
11176,TIP5,PHD,
7158,TP53,Tumor Protein P53 Binding Protein,H3
7158,TP53BP1,Tumor Protein P53 Binding Protein,"H4K79me2, H4K20me2"
8997,TRAD,PHD,
7295,TRDX,PHD,
51592,TRI33,Bromodomain,
8805,TRIM24,Bromodomain,"H3K4, H3K23ac"
10155,TRIM28,Bromodomain,H3
51592,TRIM33,Bromodomain,"H3K9me3, H3K18ac"
9866,TRIM66,Bromodomain,
7295,TRX,PHD,
4297,TRX1,Bromodomain,
7468,TRX5,PWWP Family,
27044,TSN-p100/TDRD11,Bromodomain,
54737,TWA3,Chromodomain,
7295,TXN,PHD,
51230,TZP,TTD Family,
5977,ubi-d4,PHD,
5977,UBID4,Tandem-PHD,
29128,UHRF1,Ubiquitin Like with PHD and Ring Finger Domains,"H3K9me3, H3R2, H3, mCG"
54887,UHRF1BP1,PHD,
115426,UHRF2,TUDOR,"H3K9me3, mCG"
115426,URF2,TUDOR,
51105,URLC1,TUDOR,
3431,VODI,Bromodomain,
8726,WAIT1,Embryonic Ectoderm Development,
11177,WALP1,Bromodomain,
11176,WALp3,Bromodomain,
29994,WALp4,Bromodomain,
9031,WBSC10,Bromodomain,
9031,WBSCR10,Bromodomain,
9031,WBSCR9,Bromodomain,
11177,WCRF180,Bromodomain,
55023,WDR11,Bromodomain,
55717,WDR15,Bromodomain,
11091,WDR5,WD40 Family,"H3K4, H3K4me1, H3K4me2, H3K4me3"
54554,WDR5B,WD40 Family,
54014,WDR9,Bromodomain,
4297,WDSTS,Bromodomain,
54904,WHISTLE,PWWP Family,
7468,WHS,PWWP Family,
7468,WHSC1,PWWP Family,H3K27
54904,WHSC1L1,PWWP Family,"H3K4, H3K27"
7485,WRB,Double Chromodomain,
54014,WRD9,Bromodomain,
9031,WSTF,Bromodomain,
55274,XAP135,PHD,
51773,XAP8,PHD,
6872,XDP,Bromodomain,
8242,XE169,PHD,
546,XH2,ADD Domain,
546,XNP,ADD Domain,
6596,ZBU1,SWI/SNF Related,
26013,ZC2HC3,Histone Methyl-Lysine Binding Protein,
7994,ZC2HC6A,Tandem-PHD,
23522,ZC2HC6B,PHD,
30827,ZCGPC1,CXXC Finger Protein,
55063,ZCW1,PWWP Family,
152098,ZCW2,PWWP Family,
79710,ZCW4,Zinc Finger CW Domain,
23515,ZCW5,Zinc Finger CW Domain,
79710,ZCWCC2,Zinc Finger CW Domain,
23515,ZCWCC3,Zinc Finger CW Domain,
55063,ZCWPW1,PWWP Family,H3K4me
152098,ZCWPW2,PWWP Family,
1107,ZFH,PHD,
7570,Zfp422,PHD,
100125288,ZGLP1,Ankyrin Family,
10771,zinc finger,Zinc Finger MYND-Type Containing,
10771,ZMYND11,Zinc Finger MYND-Type Containing,
23613,ZMYND8,Bromodomain,
546,ZNF-HX,ADD Domain,
7570,ZNF22,PHD,
7994,ZNF220,Tandem-PHD,
7570,ZNF422,PHD,
